Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Age,Intake Date,Outcome Date,Days in Shelter,Intake Type,Outcome Type,Intake Condition
,DOG,PIT BULL,BR BRINDLE/WHITE,Male,MED,12/24/2010,K13-007048,DS79,A300677,2.98,12/17/2013,1/1/2014,15,STRAY,EUTHANIZE,TREATABLE/MANAGEABLE
BLACK,DOG,PIT BULL,BLACK/WHITE,Male,LARGE,12/17/2011,K13-007050,DS87,A300680,2.00,12/17/2013,1/8/2014,22,STRAY,EUTHANIZE,UNTREATABLE
SOPHIA,DOG,BOXER/LABRADOR RETR,BLACK,Spayed,LARGE,12/17/2012,K13-007045,DA30,A300664,1.00,12/17/2013,1/4/2014,18,OWNER SURRENDER,ADOPTION,HEALTHY
,DOG,PIT BULL,GRAY/WHITE,Female,LARGE,1/3/2011,K13-007066,DS60,A300728,2.96,12/18/2013,1/5/2014,18,STRAY,EUTHANIZE,TREATABLE/MANAGEABLE
*KATNISS,DOG,PIT BULL,WHITE/BROWN,Spayed,MED,12/18/2012,K13-007070,DS71,A300731,1.00,12/18/2013,1/27/2014,40,TRANSFER,EUTHANIZE,TREATABLE/MANAGEABLE
*JULIUS,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,8/20/2013,K13-007079,LOBBY,A300770,0.33,12/19/2013,1/21/2014,33,STRAY,ADOPTION,HEALTHY
*HELENA,DOG,AKITA/MIX,WHITE,Spayed,LARGE,11/8/2010,K13-007094,DA17,A299249,3.12,12/20/2013,3/15/2014,85,ADOPTION RETURN,TRANSFER,HEALTHY
*KENNEDY,DOG,PIT BULL/MIX,GRAY/WHITE,Neutered,SMALL,3/7/2013,K13-007089,DA38,A300788,0.79,12/20/2013,1/21/2014,32,STRAY,TRANSFER,HEALTHY
JEZEBEL,CAT,DOMESTIC SH,ORANGE/WHITE,Spayed,SMALL,12/20/2000,K13-007099,CS04,A300821,13.01,12/20/2013,1/22/2014,33,OWNER SURRENDER,ADOPTION,HEALTHY
*OTTER,DOG,PLOTT HOUND,BR BRINDLE,Neutered,LARGE,1/13/2010,K13-007093,DA37,A300809,3.94,12/20/2013,2/5/2014,47,TRANSFER,ADOPTION,TREATABLE/MANAGEABLE
SWEETHEART,DOG,PARSON RUSS TER/MIX,WHITE/BLACK,Spayed,SMALL,1/6/2001,K13-007083,FOSTER,A300778,12.96,12/20/2013,3/4/2014,74,STRAY,ADOPTION,HEALTHY
*JILL,DOG,CHIHUAHUA SH/SHIH TZU,BROWN,Spayed,SMALL,5/1/2010,K13-007086,DA03,A300739,3.64,12/20/2013,1/16/2014,27,OWNER SURRENDER,ADOPTION,HEALTHY
CHARLIE,DOG,CHIHUAHUA SH/SHIH TZU,BROWN,Neutered,SMALL,5/1/2010,K13-007087,FOSTER,A300740,3.64,12/20/2013,2/18/2014,60,OWNER SURRENDER,ADOPTION,TREATABLE/MANAGEABLE
KOA,DOG,CHIHUAHUA SH,FAWN/TAN,Neutered,SMALL,12/20/2011,K13-007092,DA01,A300807,2.00,12/20/2013,1/31/2014,42,TRANSFER,ADOPTION,HEALTHY
KAGO,DOG,LABRADOR RETR,BLACK,Neutered,LARGE,1/3/2013,K13-007088,DA36,A300781,0.96,12/20/2013,1/3/2014,14,STRAY,ADOPTION,HEALTHY
TWINKIE,DOG,CHIHUAHUA SH,FAWN/BLUE,Spayed,SMALL,12/20/2011,K13-007091,DA01,A300803,2.00,12/20/2013,1/10/2014,21,TRANSFER,ADOPTION,HEALTHY
*PAT,OTHER,PARAKEET,BLUE/GRAY,Female,SMALL,,K13-007109,LOBBY,A300850,114.05,12/21/2013,1/8/2014,18,STRAY,ADOPTION,HEALTHY
HARLOW,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,1/7/2012,K13-007113,49ERPET,A300861,1.96,12/21/2013,1/18/2014,28,STRAY,ADOPTION,HEALTHY
*ANNABELLE,DOG,BOXER,WHITE/BLACK,Spayed,LARGE,6/21/2013,K13-007111,DA09,A300856,0.50,12/21/2013,1/9/2014,19,STRAY,TRANSFER,TREATABLE/MANAGEABLE
DOUG,DOG,PARSON RUSS TER/MIX,RED/WHITE,Neutered,TOY,12/21/2006,K13-007114,DA43,A300864,7.01,12/21/2013,2/26/2014,67,STRAY,ADOPTION,HEALTHY
MOLLY,DOG,CHIHUAHUA SH,TAN,Spayed,TOY,12/21/2012,K13-007112,DA45,A300857,1.00,12/21/2013,1/2/2014,12,TRANSFER,ADOPTION,HEALTHY
SHELLY,DOG,AFFENPINSCHER,TAN,Unknown,SMALL,,K13-007103,DA48,A364842,114.05,12/21/2013,1/3/2014,13,STRAY,ADOPTION,HEALTHY
BUBBA,DOG,PIT BULL,RED,Neutered,MED,12/23/2012,K13-007120,DA14,A300877,1.00,12/23/2013,2/6/2014,45,CONFISCATE,ADOPTION,HEALTHY
*BAXTER,DOG,CAIRN TERRIER/MIX,BLACK/TAN,Neutered,SMALL,12/31/2011,K13-007118,DA03,A300870,1.98,12/23/2013,1/2/2014,10,STRAY,ADOPTION,HEALTHY
OG,DOG,PIT BULL/MIX,BR BRINDLE,Spayed,MED,1/4/2012,K13-007119,DS69,A300876,1.97,12/23/2013,1/4/2014,12,STRAY,RETURN TO OWNER,HEALTHY
BELLA,DOG,PIT BULL/MIX,TAN/FAWN,Spayed,MED,11/4/2012,K13-007125,DS59,A297924,1.13,12/23/2013,1/18/2014,26,STRAY,EUTHANIZE,UNTREATABLE
ODESSA,DOG,PIT BULL,RED,Spayed,PUPPY,7/1/2013,K13-007130,DA36,A300880,0.48,12/23/2013,2/13/2014,52,TRANSFER,ADOPTION,HEALTHY
,CAT,DOMESTIC MH,BRN TABBY,Female,SMALL,,K13-007126,TX,A300883,114.06,12/24/2013,1/3/2014,10,TRANSFER,EUTHANIZE,UNTREATABLE
*LIL KUMA,OTHER,COLD WATER,BROWN,Unknown,SMALL,,K13-007138,LOBBY,A300909,114.06,12/24/2013,1/7/2014,14,STRAY,ADOPTION,HEALTHY
* LIL AMOS,OTHER,COLD WATER,BROWN,Unknown,SMALL,,K13-007137,LOBBY,A300907,114.06,12/24/2013,1/7/2014,14,STRAY,ADOPTION,HEALTHY
AOWYN,DOG,ANATOL SHEPHERD,YELLOW,Spayed,LARGE,1/6/2011,K13-007132,DA06,A300899,2.97,12/24/2013,1/10/2014,17,STRAY,ADOPTION,HEALTHY
DESI,DOG,PAPILLON/CHIHUAHUA LH,WHITE/TAN,Neutered,TOY,3/3/2013,K13-007140,DA47,A300911,0.81,12/24/2013,1/9/2014,16,STRAY,ADOPTION,HEALTHY
GIZMO,DOG,BASSET HOUND/MIX,WHITE/TAN,Neutered,MED,1/2/2013,K13-007127,DA07,A300886,0.98,12/24/2013,1/3/2014,10,TRANSFER,ADOPTION,HEALTHY
*MIKEY,DOG,CHIHUAHUA SH,BROWN,Neutered,SMALL,9/7/2013,K13-007128,DA02,A300887,0.30,12/24/2013,1/10/2014,17,TRANSFER,ADOPTION,HEALTHY
LOKI,DOG,WEST HIGHLAND/MIX,WHITE,Female,MED,9/12/2007,K13-007134,DS53,A297935,6.29,12/24/2013,1/14/2014,21,STRAY,RETURN TO OWNER,HEALTHY
,DOG,PIT BULL,BLUE/WHITE,Male,MED,12/26/2010,K13-007143,DS82,A300917,3.00,12/26/2013,1/9/2014,14,TRANSFER,EUTHANIZE,TREATABLE/MANAGEABLE
BARRON,DOG,MASTIFF/ST BERNARD RGH,BROWN/BLACK,Neutered,LARGE,7/6/2008,K13-007150,DQ113,A226800,5.48,12/26/2013,1/9/2014,14,OWNER SURRENDER,EUTHANIZE,TREATABLE/MANAGEABLE
CHICA,DOG,RHOD RIDGEBACK/MIX,BROWN/WHITE,Female,MED,,K13-007155,DS64,A300934,114.07,12/26/2013,1/17/2014,22,STRAY,RETURN TO OWNER,HEALTHY
*THEO,DOG,CHIHUAHUA SH,BROWN,Neutered,TOY,12/26/2012,K13-007145,DA45,A300920,1.00,12/26/2013,1/22/2014,27,TRANSFER,ADOPTION,TREATABLE/MANAGEABLE
*ZOOLANDER,DOG,CHIHUAHUA SH,TRICOLOR,Neutered,TOY,12/26/2012,K13-007144,DA05,A300919,1.00,12/26/2013,1/18/2014,23,TRANSFER,ADOPTION,HEALTHY
CHESTER,DOG,CHIHUAHUA SH/MIX,BROWN/WHITE,Neutered,TOY,12/26/2010,K13-007157,DA01,A300937,3.00,12/26/2013,1/2/2014,7,OWNER SURRENDER,ADOPTION,HEALTHY
*LILAC,CAT,HIMALAYAN,LILAC PT,Spayed,SMALL,1/7/2008,K13-007146,WESTFARM,A300921,5.97,12/26/2013,1/26/2014,31,TRANSFER,ADOPTION,HEALTHY
*STEPHEN,OTHER,REX/MIX,BROWN,Neutered,SMALL,12/26/2012,K13-007154,CA01,A300932,1.00,12/26/2013,1/7/2014,12,STRAY,ADOPTION,HEALTHY
LACEY,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,12/27/2006,K13-007161,WESTFARM,A031376,7.00,12/26/2013,1/16/2014,21,OWNER SURRENDER,ADOPTION,HEALTHY
ABBY,DOG,PIT BULL/MIX,BROWN/WHITE,Spayed,MED,1/7/2013,K13-007147,DA10,A300925,0.97,12/26/2013,1/11/2014,16,STRAY,ADOPTION,HEALTHY
MARLEY,DOG,GREAT PYRENEES,WHITE,Neutered,X-LRG,3/19/2014,K13-007159,DA15,A318258,-0.23,12/26/2013,1/18/2014,23,STRAY,ADOPTION,HEALTHY
*OSCAR,DOG,CHINESE SHARPEI/MIX,RED/WHITE,Neutered,LARGE,11/8/2012,K13-007160,DA38,A298920,1.13,12/26/2013,2/15/2014,51,ADOPTION RETURN,ADOPTION,TREATABLE/REHAB
SOOKIE,CAT,DOMESTIC LH,BLACK/WHITE,Spayed,LARGE,12/27/2010,K13-007166,CA02,A300956,3.00,12/27/2013,1/18/2014,22,OWNER SURRENDER,ADOPTION,HEALTHY
MONKEY BEAR,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,12/27/2008,K13-007164,CA02,A300954,5.00,12/27/2013,1/8/2014,12,OWNER SURRENDER,ADOPTION,HEALTHY
ROSIE,CAT,DOMESTIC LH,BRN TABBY,Spayed,SMALL,12/27/2007,K13-007165,CA02,A300955,6.01,12/27/2013,1/8/2014,12,OWNER SURRENDER,ADOPTION,HEALTHY
*GUERRO,DOG,PIT BULL/CHINESE SHARPEI,WHITE,Neutered,MED,1/21/2013,K13-007181,DQ112,A290436,0.93,12/28/2013,3/18/2014,80,OWNER SURRENDER,EUTHANIZE,TREATABLE/REHAB
,DOG,PIT BULL,BLACK/WHITE,Female,LARGE,12/28/2012,K13-007187,DS95,A301039,1.00,12/28/2013,1/8/2014,11,STRAY,EUTHANIZE,UNTREATABLE
DRAGON,DOG,PARSON RUSS TER/MIX,BLUE/TAN,Neutered,SMALL,1/17/2013,K13-007180,DA43,A301015,0.95,12/28/2013,1/18/2014,21,STRAY,ADOPTION,HEALTHY
BOO BOO,DOG,BORDER COLLIE,BLACK/WHITE,Neutered,MED,9/1/2012,K13-007177,DS81,A301012,1.32,12/28/2013,1/11/2014,14,OWNER SURRENDER,TRANSFER,TREATABLE/MANAGEABLE
,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,12/28/2006,K13-007186,CS06,A301038,7.01,12/28/2013,1/2/2014,5,STRAY,TRANSFER,HEALTHY
BLAZE,DOG,MASTIFF/MIX,BL BRINDLE,Neutered,LARGE,5/19/2013,K13-007185,DA35,A301035,0.61,12/28/2013,2/19/2014,53,STRAY,ADOPTION,HEALTHY
KIMBO,DOG,ROTTWEILER,BLACK/BROWN,Male,LARGE,6/5/2007,K13-007179,DQ117,A272354,6.57,12/28/2013,1/6/2014,9,STRAY,TRANSFER,TREATABLE/MANAGEABLE
FORD,DOG,PIT BULL,WHITE/BROWN,Neutered,MED,6/3/2011,K13-007183,DQ114,A272219,2.57,12/28/2013,1/30/2014,33,STRAY,RETURN TO OWNER,HEALTHY
BEN,DOG,ROTTWEILER/MIX,BLACK/TAN,Neutered,PUPPY,7/6/2013,K13-007178,DA08,A301013,0.48,12/28/2013,1/9/2014,12,STRAY,ADOPTION,HEALTHY
PRINCESS,DOG,GERM SHEPHERD,BLACK,Spayed,LARGE,,K13-007190,DA24,A247356,114.07,12/29/2013,1/3/2014,5,STRAY,RETURN TO OWNER,TREATABLE/MANAGEABLE
SAMMY,CAT,DOMESTIC MH,BLACK,Neutered,SMALL,,K13-007191,CS06,A301045,114.07,12/29/2013,1/2/2014,4,QUARANTINE,RETURN TO OWNER,HEALTHY
OSO,DOG,GERM SHEPHERD,BLACK/TAN,Neutered,PUPPY,12/7/2015,K13-007189,DS50,A335972,-1.94,12/29/2013,1/18/2014,20,STRAY,TRANSFER,HEALTHY
,DOG,PIT BULL/BORDER COLLIE,WHITE/BLACK,Male,MED,,K13-007205,DQ112,A301083,114.08,12/31/2013,1/9/2014,9,STRAY,EUTHANIZE,UNTREATABLE
,DOG,PIT BULL,BLACK/WHITE,Male,LARGE,1/6/2010,K13-007212,DQ110,A301096,3.99,12/31/2013,1/9/2014,9,STRAY,EUTHANIZE,TREATABLE/MANAGEABLE
ROMEO,DOG,GERM SHEPHERD,BLACK/TAN,Neutered,LARGE,12/31/2003,K13-007211,DS73,A301095,10.01,12/31/2013,1/2/2014,2,STRAY,RETURN TO OWNER,HEALTHY
MISSY,DOG,CHIHUAHUA SH/MIX,WHITE/TAN,Spayed,TOY,12/31/2011,K13-007208,DS55,A301089,2.00,12/31/2013,1/3/2014,3,STRAY,RETURN TO OWNER,HEALTHY
*ASHLEY,DOG,POINTER/MIX,WHITE/BLUE TICK,Spayed,SMALL,1/21/2012,K13-007198,DA11,A301075,1.95,12/31/2013,1/25/2014,25,STRAY,ADOPTION,HEALTHY
*JACK,DOG,DACHSHUND/PARSON RUSS TER,BROWN,Neutered,MED,11/22/2012,K13-007200,DA11,A299837,1.11,12/31/2013,1/2/2014,2,ADOPTION RETURN,ADOPTION,HEALTHY
HANZO,DOG,GERM SHEPHERD/MIX,BROWN,Male,LARGE,12/31/2012,K13-007214,DQ107,A301071,1.00,12/31/2013,1/9/2014,9,QUARANTINE,RETURN TO OWNER,HEALTHY
DEXTER,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,4/23/2009,K13-007209,CH,A234415,4.69,12/31/2013,2/18/2014,49,OWNER SURRENDER,ADOPTION,HEALTHY
PERCY,DOG,BULL TERRIER,WHITE,Neutered,MED,7/27/2010,K13-007201,DS72,A263671,3.43,12/31/2013,1/2/2014,2,STRAY,RETURN TO OWNER,HEALTHY
KATY,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,SMALL,1/7/2008,K13-007210,WESTFARM,A301087,5.99,12/31/2013,2/10/2014,41,OWNER SURRENDER,ADOPTION,HEALTHY
BETA,DOG,GERM SHEPHERD/MIX,BROWN,Male,LARGE,12/31/2012,K13-007213,DQ118,A301072,1.00,12/31/2013,1/9/2014,9,QUARANTINE,RETURN TO OWNER,HEALTHY
*BILL,CAT,DOMESTIC MH,BLACK,Neutered,SMALL,3/2/2013,K13-007204,LOBBY,A301082,0.83,12/31/2013,1/9/2014,9,STRAY,ADOPTION,HEALTHY
BRUISER,DOG,PIT BULL/MIX,BR BRINDLE,Neutered,LARGE,10/5/2009,K14-007215,DS70,A268990,4.24,1/1/2014,1/2/2014,1,STRAY,RETURN TO OWNER,HEALTHY
*CECILIA,DOG,MIN PINSCHER,BLACK/TAN,Spayed,TOY,12/14/2012,K14-007232,VET,A300591,1.05,1/2/2014,1/3/2014,1,ADOPTION RETURN,DIED,UNKNOWN
NINA,DOG,LABRADOR RETR,BLACK,Spayed,LARGE,7/26/2005,K14-007222,DA32,A200338,8.44,1/2/2014,2/20/2014,49,TRANSFER,ADOPTION,HEALTHY
LOKI,DOG,PIT BULL,GRAY,Neutered,LARGE,1/28/2010,K14-007229,DA32,A301152,3.93,1/2/2014,1/28/2014,26,STRAY,ADOPTION,HEALTHY
*NICO,DOG,CHIHUAHUA SH,BROWN,Neutered,TOY,1/2/2012,K14-007224,DA48,A301122,2.00,1/2/2014,1/16/2014,14,TRANSFER,ADOPTION,HEALTHY
DUKE,DOG,LABRADOR RETR/MIX,BLACK,Neutered,MED,4/25/2011,K14-007228,DS72,A276606,2.69,1/2/2014,1/2/2014,0,STRAY,RETURN TO OWNER,HEALTHY
PERCY,DOG,LABRADOR RETR/POINTER,BLACK/WHITE,Spayed,MED,2/2/2008,K14-007227,DS70,A301132,5.92,1/2/2014,1/6/2014,4,OWNER SURRENDER,ADOPTION,HEALTHY
JEROME,DOG,ENG SETTER/AUST SHEPHERD,WHITE/BROWN,Male,MED,1/4/2001,K14-007223,DS77,A301121,13.00,1/2/2014,1/4/2014,2,TRANSFER,RETURN TO OWNER,HEALTHY
*KODA,DOG,MIN PINSCHER,RED,Spayed,SMALL,12/10/2003,K14-007233,DA02,A300443,10.07,1/2/2014,1/3/2014,1,ADOPTION RETURN,ADOPTION,UNKNOWN
BOOMER,DOG,BORDER COLLIE/MIX,RED/WHITE,Neutered,LARGE,1/2/2005,K14-007221,DS80,A301119,9.01,1/2/2014,1/2/2014,0,STRAY,RETURN TO OWNER,UNKNOWN
SLY,DOG,SHIH TZU,BLACK,Neutered,SMALL,12/20/2006,K14-007230,DS72,A301153,7.04,1/2/2014,1/3/2014,1,STRAY,RETURN TO OWNER,HEALTHY
*DIXIE,DOG,LABRADOR RETR/MIX,BLACK,Spayed,LARGE,1/14/2007,K14-007216,DA08,A301100,6.97,1/2/2014,3/15/2014,72,STRAY,ADOPTION,HEALTHY
NEWT,DOG,TOY FOX TERRIER,BLACK/WHITE,Neutered,TOY,8/1/2000,K14-007226,DA47,A230172,13.43,1/2/2014,1/31/2014,29,ADOPTION RETURN,TRANSFER,HEALTHY
SAMMIE,DOG,LABRADOR RETR,YELLOW,Male,LARGE,3/7/2009,K14-007220,TRUCK,A260354,4.83,1/2/2014,1/2/2014,0,STRAY,RETURN TO OWNER,HEALTHY
